#묶음	번호	식별자	EN	JP	KO
0	0	MA_LEGAL_PATH	<1>As you can see, the Path Placement icon is ON. You can use your stylus to place paths!	<1>歩道設置アイコンがＯＮになっています。\nタッチペンで歩道が書けますよ！	
0	42	MA_BANK_LOANED_MSG	<1>You were able to borrow %s from the bank!	<1>銀行から%sを借入れてきましたよ！	
0	43	MA_BANK_PAYED_MSG	<1>You paid %s back to the bank!	<1>銀行に%s返済してきました！	
0	44	MA_RAD_HELP	Develop new facilities, remodel existing facilities and train staff members on this screen.<P>To confirm selections, check or circle the icon with the stylus.	この画面では新しい設備の開発、\n既存の設備の改良、\nスタッフの研修を行います。<P>選択の決定は、\nタッチペンでアイコンをチェック\nあるいは○で囲んでください。	
0	45	MA_RAD_NEW_RIDE_DES	Develop a new ride. Be sure to plan wisely to keep your guests entertained.	新しいアトラクションを開発します。\nお客さんを飽きさせない為にも、\n積極的に投資しましょう。	
0	46	MA_RAD_UP_RIDE_DES	Remodel a ride. This allows you to increase the number of visitors on the ride and staff while keeping costs low.	アトラクションを改良します。\n最大定員数の増加と、\n設備費用を低く抑える効果が期待できます。	
0	47	MA_RAD_NEW_SHOP_DES	Develop a new shop. New merchandise adds to the park's revenues.	新しいショップを開発します。\n新しいショップの商品は、\nテーマパークの収益に貢献するでしょう。	
0	48	MA_RAD_TRAIN_STAFF_DES	Train staff members. A well-trained staff provides the best possible service.	スタッフの研修を行います。\n高度な教育を受けたスタッフは、\nよりよいサービスを提供するでしょう。	
0	49	MA_RAD_NEW_FAC_DES	Develop new facilities. Management of facilities has a strong impact on the appearance and hygiene of the park.	新しい施設を開発します。\n施設の充実は、テーマパークの景観と\n衛生面に強く影響を与えます。	
0	50	MA_RAD_UP_FAC_DES	Remodel facilities. This will expand storage capabilities and improve bus services.	施設の改修を行います。具体的には、\n倉庫の拡張と送迎バスの大型化を行います。	
0	51	MA_RAD_NEW_RIDE_MSG	Set a new Research budget. Tap the OK icon when the amount has been set.	新しい開発費用を入力します。\n金額を入力後、\nＯＫアイコンをタッチしてください。	
0	52	MA_RAD_CONFIRMED0_MSG	<1>OK. The new budget has been set at %s! This amount will be withdrawn from your account every month.	<1>新しい費用は%sで決定！\nこの設定金額は、毎月の引き落しとなるので\n注意してくださいね！	
0	53	MA_SHARE_HELP	After entering in the price, tap the BUY button to buy stocks, and the SELL button if you would like to sell stocks.	金額を入力後、株の購入は”買う”アイコンを、\n売却は”売る”アイコンをタッチしてください。	
0	54	MA_SHARE_BUY	<1>OK. You purchased %d shares of %s!	<1>%s株を\n%d購入してきましたよ！	
0	55	MA_SHARE_SELL	<1>Yay! You were able to sell %d shares of %s!	<1>%s株を\n%d売却してきましたよ！	
0	56	MA_ADMISSION_HELP	Set a new admission price. Tap the OK icon when the amount has been set.	新しい入場料を入力します。\n金額を入力後、\nＯＫアイコンをタッチしてください。	
0	57	MA_ADMISSION_CONFIRMED	The new admission price is %s!	新しい入場料は%sで決定！	
0	58	MA_SETTINGS_DESCRIPTION	Adjust settings for individual systems on this screen.<P>To confirm selections, check or circle icons with the stylus.	この画面では、各種システムの設定を行います。<P>選択の決定は\nタッチペンでアイコンをチェック、\nあるいは○で囲んでください。	
0	59	MA_GAME_SPEED	Adjust the overall game speed.	ゲーム全体の進行速度を切り替えます。	
0	60	MA_MAP_BOX	Display the entire park map. Use the stylus to travel directly to any location you like.	全体マップを表示します。\nタッチペンで目的の場所へ\nダイレクトに移動が可能です。	
0	61	MA_SOUND_DESCRIPTION	Change the game music.	ゲーム中に流れる音楽を変更します。	
0	62	MA_SAVE_DESCRIPTION	Save current game progress.	途中経過をセーブします。	
0	63	MA_LOAD_DESCRIPTION	Load a saved game.	セーブデータをロードします。	
0	64	MA_GIVEUP_DESCRIPTION	Give up building the current park and return to the Country selection screen.	この国のテーマパーク経営から手を引きます。	
0	65	MA_GAME_SPEED_HELP	Adjust the speed at which the park operates. Tap one of the four speed triangles in the center of the screen.	ゲームの進行速度を切り替える事ができます。\n画面中央のスピードゲージを\nタッチしてください。	
0	66	MA_SOUND_HELP	Change the game music. Tap the icon to take a listen. Check or circle the icon to confirm your selection.	ゲーム中の音楽を変更します。\nアイコンをタッチして試聴。\nチェック、あるいは○で決定となります。	
0	67	MA_SAVE_HELP	Save current game progress. Tap the OK icon to save your game.	途中経過をセーブします。\nよろしければ\nＯＫアイコンをタッチしてください。	
0	68	MA_SAVE_PROGRESS	<1>Now saving... Please don't turn the power off!	<1>ただいまセーブ中です。\nセーブが完了するまで、\n電源をＯＦＦにしないで下さい。	
0	69	MA_SAVE_END	<2>Save complete!	<2>セーブが完了しました！	
0	70	MA_LOAD_HELP	Load a saved game. Tap the OK icon to load a game.	セーブデータをロードします。\nよろしければＯＫアイコンを\nタッチしてください。	
0	71	MA_LOAD_PROGRESS	<1>It's loading right now... Please wait a moment.	<1>いまロードしています、少々お待ちくださいね！	
0	72	MA_LOAD_END	<2>Load complete! You'll continue your ongoing game.	<2>ロード完了です！\n中断データからゲームスタートしますね！	
0	73	MA_GIVEUP_CONFIRM	<1>Give up building the current park and return to the Country selection screen. All of your unsaved game data will be lost. Is that OK?	<1>ギブアップします。セーブしていない場合、\nこのプレイデータは破棄されます。\nよろしいですか？	
0	74	MA_RIDE_INFO	Try tapping the various icons. It's possible to make all kinds of adjustments to individual rides.	色々なアイコンにタッチしてみてください。\nアトラクション毎に\n様々な調整を行うことが可能です。	
0	75	MA_MAX_PEEPS	Change the ride's single-ride capacity. Tap the cursor to adjust.	アトラクションの１回あたりの\n定員数を変更します。カーソルをタッチして\n数値を調整してください。	
0	76	MA_REPAIR	This shows the ride's durability. Tap the gauge to have Mechanics make repairs.	アトラクションの耐久度を表します。\nゲージをタッチすると、\nメカニックが修理を行います。	
0	77	MA_SPEED	Change the ride's operating speed. Tap the gauge to adjust. Faster rides need repairs more often.	アトラクションの運転速度を変更します。\nゲージをタッチすると、\n運転速度が変更されます。	
0	78	MA_TIME	Change the ride's single-ride duration. Tap the gauge to adjust.	アトラクションの１回あたりの\n運転時間を変更します。ゲージをタッチして\n時間を変更してください。	
0	79	MA_RIDE_INFO_SHOP	The shop's current status. You can adjust prices and the amount of additives.	このショップの現在の状態です。\n販売価格、味付け量の変更が可能です。	
0	80	MA_INFO_SIDE_HELP	The sideshow's current status. You can adjust winning percentages, prize values and play costs.	このサイドゲームの現在の状態です。\n勝率、景品価格、ゲーム料金の変更が可能です。	
0	81	MA_INFO_GURD_HELP	The Guard's current status. You can adjust his salary and placement.	このガードマンの現在の状態です。\n給与の変更、配置位置の移動が可能です。	
0	82	MA_MOVE_STAFF	<1>To change the %s's position, place the %s in the right spot and then tap the OK icon.	<1>%sの配置位置を変更します。\n%sの配置位置を指定して、\nＯＫアイコンをタッチしましょう！	
0	83	MA_RIDE_INFO_STAFF	The Entertainer's current status. You can adjust his salary and placement.	このエンターテナーの現在の状態です。\n給与の変更、配置位置の移動が可能です。	
0	84	MA_MOVE_STAFF2	<1>To change the Entertainer's position, place the Entertainer in the right spot and tap the OK icon.	<1>エンターテナーの配置位置を変更します。\n配置位置を指定して、\nＯＫアイコンをタッチしましょう！	
0	85	MA_INFO_HANDY_HELP	The Handyman's current status. You can adjust his salary, placement and cleaning area.	このスイーパーの現在の状態です。\n給与の変更、配置位置の移動、\n清掃範囲の指定が可能です。	
0	86	MA_MOVE_STAFF3	<1>To change the Handyman's position, place the Handyman in the right spot and tap the OK icon!	<1>スイーパーの配置位置を変更します。\n配置位置を指定して、\nＯＫアイコンをタッチしましょう！	
0	87	MA_PLACE_HANDYMAN_ROUTE	<1>To set the Handyman's cleaning route, you gotta use your stylus to set the starting point of where the Handyman will clean.<P>Each Handyman can clean multiple areas, so you can set more than one starting point. Then tap the OK icon when you're done!	<1>このスイーパーの清掃ルートを指定します。\n清掃範囲の基点をタッチペンで指定しましょう。<P>清掃範囲の基点はいくつも指定できます。\n範囲がバッチリなら\nＯＫアイコンをタッチしましょう！	
0	88	MA_INFO_MECA_HELP	The Mechanic's current status. You can adjust his salary, placement and maintenance area.	このメカニックの現在の状態です。\n給与の変更、配置位置の移動、修理する\nアトラクションの指定が可能です。	
0	89	MA_MOVE_STAFF4	<1>To change the Mechanic's position, place the Mechanic in the right spot and tap the OK icon!	<1>メカニックの配置位置を変更します。\n配置位置を指定して、\nＯＫアイコンをタッチしましょう！	
0	90	MA_MECANIC_REPAIR	<1>This Mechanic is ready for work! Tap the ride that needs to be repaired!	<1>このメカニックを修理に向かわせます。\n修理したいアトラクションをタッチしましょう！	
0	91	MA_ERASER	<1>The "Erase" icon is on. Use it to erase objects in your park.	<1>消しゴムアイコンがＯＮになっています。\nタッチペンで様々な施設が撤去できますよ！	
0	92	MA_WAREHOUSE_FULLMODE	You can only access the warehouse and control inventory directly in "Full" mode.	在庫管理は、｢なんでもできる｣モードで\n行ってください。	
0	93	MA_RESEARCH_SANDBOX	You can't do research in "Sandbox" mode.	｢つくるのが楽しい｣モードでは、\n研究を行うことができません。	
0	94	MA_STOCK_DISABLE	You can only trade stocks in "Full" mode.	このゲームモードでは、\n株取引を行うことができません。	
0	95	MA_CONTINUE_NEXT_COUNTRY	<1>When you are ready to sell your park and go to another country, go to the "System" menu and choose "Next country".	<1>売却をキャンセルしました。\n引き続き、この国をプレーしますよ！<P>クリアした履歴は保存されていませんよ。\n中断する時は必ずセーブしましょうね！<P>次の国をプレーしたい場合、\nゲームアイコン”システム”から\n”次の国へ”を選択しましょう！	
0	96	MA_SELL_CONFIRM	<1>To make another park, you need to sell this one, and won't be able to return to it. Do you want to sell this park?	<1>新しい国をプレーする為には\nセーブの後、\n今の国を売却する必要がありますね。<P>一度売却すると、\nこの国はオーナーの物では無くなります。\nよろしいですか？	
0	97	MA_UNLOCKED_ITEM	You now have access to:	以下の要素が追加されましたよ！	
0	98	MA_LEVEL_CLEARED	<2>Congratulations!\nYou've cleared this country.\nLet's go to another country!	<2>イェイ！クリアノルマ達成ですよ！\nよっしゃ、新しい国へ向かうとしますか！	
0	99	MA_PARK_SOLD	<1>You've sold your park! 	<1>この国を売却しますね。売却手続きの為、\nセーブしますよ。お待ちくださいね。	
0	100	M_LOAD_PROFILE_END	<2>Load complete!	<2>ロード完了です！	
0	101	MA_PLACE_TUBE	<1>Place the Water Slide house alongside the water slide course. Remember, the course needs to form a complete loop.	<1>ウォータースライダーは、\n環状に繋がった専用コースに\n隣接させて設置しましょう！	
0	102	MA_PLACE_GOKART	<1>Place the Go-Kart house alongside the go-kart course. Remember, the course needs to form a complete loop.	<1>ゴーカートは、\n環状に繋がった専用コースに\n隣接させて設置しましょう！	
0	103	MA_GAME_OVER	<4>Sir, you have unfortunately gone bankrupt... this means we're gonna have to close the park.	<4>本日付けで破産となり、このパークは閉園です…\nあぁ、ボクがもっとサポートできてれば…！	
0	104	MA_OUT_OF_THING	<1>Hey, there's too much stuff in your park. To add to your park, please remove some existing things.	<1>これ以上配置できないですね…\n新たに配置したい場合、\n設置物を撤去しましょう！	
0	105	MA_OUT_OF_STAFF	<1>Hey, there's too much stuff in your park. To place a new staff member, make some room by removing existing things.	<1>これ以上スタッフの雇用はできないですね。\n新たにスタッフを雇用したい場合、\n設置物を減らしましょう！	
0	106	MA_OUT_OF_CUSTOMER	<1>Hey, there's too much stuff in your park -- it looks like even your customers aren't able to enter.<P>Make more room for new items by removing some existing things.	<1>これ以上お客さんが入園できません。\nさらにお客さんを招き入れたい場合、\n設置物を撤去してください。	
0	107	MA_WOODEN_COST	<1>Big Dipper rails cost %s apiece.	<1>ウッドコースターのレールを敷設中です。\nレールの敷設には\n%sのコストが発生しますよ！	
0	108	MA_TUBE_COST	<1>Roller Coaster rails cost %s apiece.	<1>ジェットコースターのレールを敷設中です。\nレールの敷設には\n%sのコストが発生しますよ！	
0	109	MA_MONO_COST	<1>Monorail rails cost %s apiece.	<1>モノレールのレールを敷設中です。\nレールの敷設には\n%sのコストが発生しますよ！	
0	110	MA_NEXT_COUNTRY_TITLE	Sell your park and build a new park in a new country.	すでにクリア条件を満たしています。\n新たに別の国で、テーマパーク経営を行います。	
0	111	MA_ENDING	Thank you for playing!\nCongratulations!	Thank you for playing!\nおめでとう！\nあなたこそ世界一のテーマパーク王です！	
1	0	CELL1141			
1	1	AT_BANKRUPT	___NOT_USED__DONT_TRANSLATE	___NOT_USED__DONT_TRANSLATE	
1	2	AT_RIDE_OLD	<3>The %s is getting really old. I think you should replace it with something new.	<3>%sは長いこと\n使ってきたのでオンボロになったみたいです！\n早いこと取り替えましょう！	
1	3	AT_SEND_MECANIC	<3>Hey! The %s is almost broken! Have a mechanic repair it before it's too late!	<3>%sがそろそろ\n故障しそうでヤバいです！事故になる前に、\nメカニックを呼びましょう！	
1	4	AT_LOW_STOCK	<4>Hey, you are running low on %s. You only have %d left. You had better get more now!	<4>%sの在庫が、\nもう残り少ないですね。あと%dしか\nないですよ。早く仕入れましょう！	
1	5	AT_PEOPLE_STUCK	<5>Hey! One of your guests is stuck somewhere in the park. You'd better rescue that guest quickly!	<5>はまって出られないお客さんがいるようです！\n早く居場所を探して助けさないと！！	
1	6	AT_NO_ONE_COMING	<3>The admission is too pricey. I really think you should lower the price.	<3>入場料金が割高みたいですね…\nもっと値下げした方が\n良いんじゃないですかね？	
1	7	AT_STUPID_TICKET_PRICE	<3>Hey! What are you doing? The price of admission is too high! No one wants to pay such a high price! Lower it!	<3>ちょっと、しっかり！入場料金高すぎ！\nこれじゃ誰も来ないですよ！\n早いとこ値下げしましょう！	
1	8	AT_TICKETS_MUCH_TOO_EXPENSIVE	<5>We're getting lots of complaints about the high price of admission. Lower the price before it's too late!	<5>入場料が普通じゃないって苦情が来てます！\nヤバい事になる前に、ちょっと考え直して！	
1	9	AT_TICKETS_VERY_EXPENSIVE	<3>I think the admission is a little pricey. You should consider lowering it.	<3>入場料金が、少し割高なんじゃないですか？\n値下げした方がいいと思いますよ、本当。	
1	10	AT_STOCK_ARRIVED	<2>You know, the shipment of %d %s you ordered has arrived. You'd better check it out.	<2>オーナーが発注した\n%sの在庫、%d分が\n入荷しました！確認してくださいね。	
1	11	AT_FREE_TICKETS	<3>You should be charging more for the price of admission. Otherwise, we'll be running in the red soon.	<3>オーナーが優しいのは良く知ってますが、\n入場料はもっと上げましょう！\n運営、できなくなっちゃいますよ？	
1	12	AT_MAD_TICKET_PRICE	<5>Oh no... The price for admission is so low, it's making us go bankrupt. Don't say I didn't warn you!	<5>うわー…こんな激安入場料じゃ、\n破産まっしぐらですよ。\nヤバすぎですよ、これは！	
1	13	AT_TICKETS_WAY_TOO_CHEAP	<3>The price of admission is way too cheap. You gotta raise the ticket price now! Hey, I mean it!	<3>入場料金、安すぎないですか？\n今すぐ値上げしましょう、いや本当に。	
1	14	AT_TICKETS_MUCH_TOO_CHEAP	<5>Hey! We can't run a business with the price of admission being so low. Can you raise the ticket price?	<5>今の入場料金じゃビジネスになりませんって！\nこの超低価格じゃ、ボランティアみたいですよ！	
1	15	AT_TICKETS_VERY_CHEAP	<4>I think we're being too generous towards our guests. You should raise the price of admission a notch.	<4>お客さんに対して、\n寛大すぎる入場料金なんじゃないですか？\nもうちょっと値上げしましょうよ。	
1	16	AT_TOO_MUCH_LITTER	<5>Hey! The park is filled with trash! You should hire a Handyman or two and clean up before complaints start coming in.	<5>うわ！パークがゴミだらけ、汚すぎですよ！\n苦情来る前に、\nスイーパーを雇って清掃しましょう！	
1	17	AT_TOTAL_SHOPS	<1>Why don't we add more shops? Considering the number of rides we have, having %d more shops should be no problem.	<1>ショップを増やしませんか？\nアトラクション数と比べて考えると、\n%d軒ほど配置しても問題ないですよ。	
1	18	AT_TAKE_OUT_LOAN	<1>Hey, are you having trouble making enough money to run your Park? You should consider taking out a loan.	<1>運営の資金繰りに苦労してないですか？\n銀行から貸付けもできますよ。\n検討しましょうよ。	
1	19	AT_TOTAL_STAFF	<4>Oh man, we're not doing too well... Firing some staff can help reduce costs, you know.	<4>正直、順調じゃないですね…\nスタッフを解雇するっていうのも、\nコスト削減のひとつの手ですよ…	
1	20	AT_MAKE_RIDE_FASTER	<4>Some of our guests are getting bored. I think you should speed up some of the attractions!<P>Just remember, faster rides need maintenance more often. Keep an eye out for smoke!	<4>お客さんが退屈してますね～。\nアトラクションのスピードを上げて\nスリルを演出してみては？	
1	21	AT_WANDERRING	<5>Hey, some of our guests can't find the exit. I think you should set up a Sign Post or two, pointing the way out.	<5>出口がわからない…？\n迷ってるお客さんがいますね。\n案内標識を設置してみましょうよ！	
1	22	AT_BUY_NEW_RIDE_FOR_BORED_PEOPLE	<4>Try adding some rides to make your park more interesting. How about a %s?	<4>マンネリ続きかな…%s\nみたいなアトラクションを設置して、\n新しい話題を呼んでみてはどうですか？	
1	23	AT_TICKET_PRICE_JUST_RIGHT	<2>The ticket prices for our rides are just about right! Let's keep it that way!	<2>ワオ！入場料の価格設定がいい感じですね！\nこの調子で盛り上げていきましょうよ！	
1	24	AT_TICKETS_SLIGHTLY_TOO_CHEAP	<2>Yeah! We're getting plenty of guests! I think you should  raise the price for admission a bit.	<2>イェイ！順調、順調！！\nもう少し入場料金を値上げしてみても\nいいんじゃないですか？	
1	25	AT_TICKETS_SLIGHTLY_TOO_EXPENSIVE	<3>I think our admission is a little too pricey, considering the size of the park. You should lower it.	<3>今のパークの規模からすると、\n入場料が高いんじゃないかと思います。\n値下げしましょう。	
1	26	AT_PUT_SHOP_PRICE_UP	<1>I think you should raise the price of %s by %d.	<1>ボクは%sの\n価格を、%dだけ上げた方が\n良いと思いますね。	
1	27	AT_PUT_SHOP_PRICE_DOWN	<1>I think you should reduce the price of %s by %d.	<1>ボクは%sの\n価格を、%dだけ下げた方が\n良いと思いますね。	
1	28	AT_BUY_ENTERTAINER_FOR_BORED_PEOPLE	<1>Hey, you should hire an entertainer or two to keep our guests happy.	<1>退屈したお客さんのウケをねらう為に、\nエンターテナーを雇用すると良いのでは？	
1	29	AT_BAD_SIGN	<5>Hey, a lot of guests are getting lost trying to find the exit. I think we need more Sign Posts.	<5>出口がわからなくて、\n迷ってるお客さんがいますね。\n案内標識をもっと設置しましょう！	
1	30	AT_RIDES_TOO_FAR_APART	<1>The rides are placed too far apart. You should place them closer together.	<1>アトラクション同士の距離が離れすぎですね。\nもっと近付けて配置した方が\n良いと思いますよ。	
1	31	AT_QUEUE_LENGTH	<3>Hey. The lines for %s are getting too long! You should do something about the queue to prevent this.	<3>%sの行列が\n長すぎます！整列歩道の整備を\nもうちょっと考えた方が良いですね。	
1	32	AT_AVG_LEAVING	<4>Hey, some of our guests are saying that our rides are badly placed and that the whole park is boring.	<4>お客さんが「アトラクション等の配置が悪い」\n「全体的に面白くない」と\n不満を口にしてましたよ、なんだかなー。	
1	33	AT_RAD_BUS_BECOME_BIG	<2>Score one for the Research and Development team! Our buses are larger now and can carry up to %d guests!	<2>研究開発の成果が表れました！\nバスが大きくなって、\n%d人乗れるようになりました！	
1	34	AT_RAD_RIDE_UPGTADE	<2>Here's some great news from the Research and Development team! %s has been upgraded to version %d.%d!	<2>研究開発の成果ですよ！\n%sのバージョンが、%d.%dに\nアップグレードされました、イェイ！	
1	35	AT_SHOP_PRICE_UP	<1>Don't you feel we should increase the price of our %s? I feel %s would be a good price.	<1>%sの価格を、\n値上げしてはどうですかね？\n%sがちょうどいい価格かな。	
1	36	AT_SHOP_PRICE_DOWN	<1>Don't you feel we should lower the price of our %s? I feel %s would be a good price.	<1>%sの価格を、\n値下げしてはどうですかね？\n%sがちょうどいい価格かな。	
1	37	AT_TRAINING_RESULT	<2>Here's the result of staff training. The version of %s has been upgraded to %d.%d!	<2>スタッフ研修の成果ですよ！\n%sのバージョンが\n%d.%dにアップグレード！	
1	38	AT_RAIL_OPEN	<1>Hey, to open this attraction, the rails need to be connected in a loop.	<1>このアトラクションを運行する為には、\nレール、又はコースをつなげてください！	
2	0	CELL1541			
2	1	NT_STAFF_START	<1>The labor union wants to negotiate. A representative is waiting in the other room. Well, let's go!	<1>労働組合から労使交渉の申し出がありました！\n代表者が別室で待機してます。\nでは…行きますか！	
