#파일	묶음	번호	KO  (PoC 1 — 스크린샷 6장 화면 문구)
LANG0	14	47	캐나다
LANG0	14	50	브라질
LANG0	14	52	영국
LANG0	14	55	남아프리카
LANG0	14	56	남극
LANG0	14	57	이집트
LANG0	14	59	러시아
LANG0	14	60	중국
LANG0	14	62	일본
LANG0	14	63	오스트레일리아
LANG0	14	65	난이도
LANG0	14	66	클리어 총자산
LANG0	14	67	클리어 자금
LANG0	19	0	그럼 먼저, 오너인 당신의\n프로필을 알려 주세요.
LANG0	19	1	당신의 이름을 입력하세요.\n입력한 뒤 OK 아이콘을 터치하세요.
LANG0	19	2	무언가 한마디, 해 보고 싶지 않나요?\n당신 마음의 외침을 살짝 알려 주세요.
LANG0	19	3	당신의 분신이 될 캐릭터를 정합니다.<P>선택하려면 터치펜으로\n아이콘을 터치하세요.
LANG0	19	4	당신의 성별을 입력합니다.<P>선택하려면 터치펜으로\n아이콘을 터치하세요.
LANG0	19	5	여기서는 혈액형을 입력합니다.<P>선택하려면 터치펜으로\n아이콘을 터치하세요.
LANG0	19	6	여기서는 당신의 생일을 입력하세요.
LANG0	19	7	"테마파크"에 오신 것을 환영합니다!<P>이 게임에서 함께\n즐겁게 놀이공원을 만들어 봐요!
LANG0	19	8	건설 중인 테마파크 데이터가 있습니다.\n이전 테마파크는 폐원됩니다.<P>이전 데이터를 지우고\n새 테마파크를 만들까요?
LANG0	19	9	테마파크 데이터를 불러오는 중입니다…\n잠시 기다려 주세요.
LANG0	19	10	프로필 입력 중입니다.\n입력이 끝나면\nOK 아이콘을 터치하세요.
LANG0	19	11	프로필을 만들었습니다!<P>이 프로필은 엇갈림 통신 때\n당신의 명함이 됩니다.<P>또 엇갈림 통신을 하면\n다른 플레이어의 프로필을 얻을 수 있습니다.<P>다른 플레이어가 다른 테마파크의\n오너로서 놀러 올지도 모릅니다.<P>엇갈림 통신으로 새로운 만남의 예감!?\n엇갈림 통신, 꼭 해 보세요!
LANG0	19	12	입력했나요?\n문제가 없으면\nOK 아이콘을 터치하세요.
LANG0	19	13	다음은 캐릭터 아이콘을 고릅니다.<P>선택하려면 터치펜으로\n아이콘을 터치하세요.
LANG0	19	14	다음은 테마파크를 지을 나라를 정합시다.
LANG0	19	15	＠＠＠＠(으)로 할까요?\n괜찮으면 OK 아이콘을 터치하세요.
LANG0	19	16	어느 나라에 테마파크를 지을까요?\n짓고 싶은 나라의 국기를 터치하세요.
LANG0	19	17	＠＠＠＠(으)로 할까요?\n괜찮으면 ＯＫ 아이콘을 터치하세요.
LANG0	19	18	%s에서는\n이미 큰 성공을 거두었습니다.\n이 나라에서 다시 도전할까요?
LANG0	19	19	이름을 입력
LANG0	19	20	코멘트를 입력
LANG0	22	7	저, 저기… 처, 처음 뵙겠습니다!\n모카라고 해요…<P>여기서부터는 제가 안내할게요.\n자, 잘 부탁드립니다.<P><2>바, 발목 잡지 않게 열심히 할게요!\n즐겁게 테마파크를 만들어 봐요!
LANG0	23	0	리
LANG0	23	1	22세
LANG0	23	2	신진기예
LANG0	23	3	Mr.벨
LANG0	23	4	58세
LANG0	23	5	박학다재
LANG0	23	6	크리스탈
LANG0	23	7	26세
LANG0	23	8	재색겸비
LANG0	23	9	모카
LANG0	23	10	18세
LANG0	23	11	순진무구
LANG0	24	0	다음은 게임 모드를 고릅니다.<P>여기서는 취향에 맞게\n게임 모드를 바꿀 수 있습니다.<P>각 항목을 터치해 보세요.\n모드마다 제가 설명해 드릴게요.
LANG0	24	1	초보자용 게임 모드입니다.\n익숙하지 않은 분은 이 모드를 고르세요.
LANG0	24	2	테마파크 만들기에 익숙해진 분께\n추천하는 게임 모드입니다.<P>이 모드에서는 "연구 개발"을 할 수 있습니다.<P>연구 개발을 하면 새 어트랙션이나\n상점을 개발·개량할 수 있습니다.<P>또 노동조합이나 도매업자와의\n매입가 협상도 오너인 당신이\n직접 해야 합니다.
LANG0	24	3	그냥 만드는 것만이 아니라, 본격적으로\n테마파크를 운영하고 싶은 분께 추천합니다.<P>"생각하는 게 즐겁다"보다 요소가 늘어\n테마파크를 세세하게 운영할 수 있습니다.<P>경리, 주식 자산 운용을 할 수 있습니다.\n또 상품 재고 매입도\n직접 해야 합니다.
LANG0	24	4	시작 자금은 넉넉하고,\n손님도 기분 좋게 돈을 써 줍니다.
LANG0	24	5	시작 자금은 적당히.\n초급에 비해\n눈이 높은 손님도 늘어납니다.
LANG0	24	6	시작 자금도 적고\n서비스에 까다로운 손님들.\n지갑 끈이 단단합니다.
LANG0	24	7	게임의 기본 흐름에 대해\n어드바이저가 튜토리얼을 진행합니다.
LANG0	24	8	튜토리얼이 없습니다.\n플레이에 익숙한 분은\n이쪽을 고르세요.
LANG0	24	9	게임 모드를 고릅니다.\n모드를 고르고\nOK 아이콘을 터치하세요.
LANG0	24	10	당신이 생각한 테마파크 이름으로\n바꿀 수 있습니다. 입력했으면\nOK 아이콘을 터치하세요.
advice0	6	14	<1>이 화면에서 어트랙션을 구입합니다.
advice1	6	14	<1>어트랙션 구입은 여기서 해요.
advice2	6	14	<1>어트랙션은 여기서 구입합니다.
advice3	6	14	<1>이 화면에서 어트랙션을 구입해.
